"","PathogenName","Pathogen_Harmonised","UNsubregion","CountryISO_EID2Wertheim"
"92","human herpesvirus 8","human herpesvirus 8","Eastern Africa, Middle Africa, Southern Africa, Western Africa, Caribbean, South America, Northern America, Eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Melanesia","CF,IR,ZW,SN,CM,CU,TW,NZ,SA,KW,BW,GR,IT,NC,PE,GA,US,EC,GF,BR,JP,SB,HT,RU,CG,CD,FR,ZA,CN,GB,MW,IL,HU,GM,AR,UG,AU,ZM,NL"
"93","human metapneumovirus","human metapneumovirus","Northern Africa, Southern Africa, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","KR,DE,CN,HK,IT,CA,GB,US,TH,HR,DK,BR,IN,JP,AU,ES,KH,FR,SG,EG,ZA,IL,TW"
"94","human norovirus-alphatron","human norovirus-alphatron",NA,NA
"95","human papillomavirus 1","human papillomavirus 1",NA,NA
"96","human papillomavirus 10","human papillomavirus 10",NA,NA
"97","human papillomavirus 16","human papillomavirus 16",NA,NA
"98","human papillomavirus 18","human papillomavirus 18",NA,NA
"99","human papillomavirus 2","human papillomavirus 2",NA,NA
"100","human papillomavirus 26","human papillomavirus 26",NA,NA
"101","human papillomavirus 32","human papillomavirus 32",NA,NA
"102","human papillomavirus 34","human papillomavirus 34",NA,NA
"103","human papillomavirus 4","human papillomavirus 4",NA,NA
"104","human papillomavirus 41","human papillomavirus 41",NA,NA
"105","human papillomavirus 48","human papillomavirus 48",NA,NA
"106","human papillomavirus 49","human papillomavirus 49",NA,NA
"107","human papillomavirus 5","human papillomavirus 5","Northern America, Southern Europe","US,IT,SI"
"108","human papillomavirus 50","human papillomavirus 50",NA,NA
"109","human papillomavirus 53","human papillomavirus 53",NA,NA
"110","human papillomavirus 54","human papillomavirus 54",NA,NA
"111","human papillomavirus 6","human papillomavirus 6",NA,NA
"112","human papillomavirus 60","human papillomavirus 60",NA,NA
"113","human papillomavirus 61","human papillomavirus 61",NA,NA
"114","human papillomavirus 63","human papillomavirus 63",NA,NA
"115","human papillomavirus 7","human papillomavirus 7",NA,NA
"116","human papillomavirus 71","human papillomavirus 71",NA,NA
"117","human papillomavirus 88","human papillomavirus 88",NA,NA
"118","human papillomavirus 9","human papillomavirus 9","Southern Europe","IT"
"119","human papillomavirus cand90","human papillomavirus cand90",NA,NA
"120","human papillomavirus cand92","human papillomavirus cand92",NA,NA
"121","human papillomavirus cand96","human papillomavirus cand96",NA,NA
"122","human parainfluenza virus 1","human parainfluenza virus 1","Northern America, Southern Asia","IN,US"
"123","human parainfluenza virus 2","human parainfluenza virus 2",NA,NA
"124","human parainfluenza virus 3","human parainfluenza virus 3","Northern America, Eastern Asia, Western Asia, Northern Europe","SA,CN,CA,JP,US,GB"
"125","human parainfluenza virus 4","human parainfluenza virus 4",NA,NA
"126","human parechovirus","human parechovirus",NA,NA
"127","human parvovirus b19","human parvovirus b19",NA,NA
"128","human picobirnavirus","human picobirnavirus",NA,NA
"129","human polyomavirus","human polyomavirus",NA,NA
"130","human respiratory syncytial","human respiratory syncytial",NA,NA
"131","human rhinovirus a","human rhinovirus a",NA,NA
"132","human rhinovirus b","human rhinovirus b",NA,NA
"133","human torovirus","human torovirus",NA,NA
"134","ilheus","ilheus",NA,NA
"135","isfahan","isfahan",NA,NA
"136","japanese encephalitis","japanese encephalitis","Eastern Asia, South-eastern Asia, Southern Asia, Australia and New Zealand, Melanesia","MM,TH,LA,KH,VN,MY,PH,BN,IN,NP,BT,PK,CN,KR,KP,TW,JP,PG,AU,TL"
"137","juquitiba","juquitiba","South America","BR"
"138","kairi","kairi",NA,NA
"139","kemerovo","kemerovo",NA,NA
"140","kokobera","kokobera",NA,NA
"141","koutango","koutango",NA,NA
"142","kyasanur forest disease","kyasanur forest disease",NA,NA
"143","laguna negra","laguna negra","South America","AR,BO,PY"
"144","lassa","lassa","Northern Africa, Eastern Africa, Middle Africa, Western Africa","SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,CD,CG,GA,GQ,CM,CF,SS,SD,TD"
"145","louping ill","louping ill","Western Europe",NA
"146","lymphocytic choriomeningitis, lymphocytic choriomeningitis mammarenavirus","lymphocytic choriomeningitis","Northern Africa, Eastern Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Melanesia, Polynesia","US,CA,MX,CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY,PT,FR,ES,GB,IT,CH,AT,BE,NL,SI,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV,NO,SE,FI,MM,TH,LA,KH,VN,MY,PH,BN,AU,PG,ID,NC,SB,CK,FJ,DZ,KE,SO,JP"
"147","machupo","machupo","South America","BO"
"148","lake victoria marburgvirus, marburg marburgvirus","marburg","Eastern Africa, Middle Africa, Southern Africa, Western Europe","AO,CD,KE,UG,ZM,ZA,DE"
